filename,dc.title,dc.contributor,dc.date.issued,dc.description,dc.format.extent
Alabama,Alabama,robert r. riley,12/14/1819,yellowhammer state,4447100
Alaska,Alaska,Sean Parnell,12/3/1959,the last frontier,"626,932"
American Samoa,American Samøæ,Togiola Tulafono,,None,73.97 years
Arizona,Arizona,Jan Brewer,2/14/1912,grand canyon state,5130632
Arkansas,Arkansas,Mike Beebe,6/15/1836,the natural state,"2,834,797"
California,California,arnold schwarzenegger,9/9/1850,golden state,33871648
Colorado,Colorado,bill ritter,8/1/1876,centennial state,"4,861,515"
Connecticut,Connecticut,M. Jodi Rell,1/9/1788,Constitution State,3405565
Delaware,Delaware,jack a. markell,12/7/1787,the first state,"118,769"
District of Columbia,District of Columbia,mayor adrian fenty,,"dc, the district","572,059"
Florida,Florida,charlie crist,3/3/1845,sunshine state,"15,982,378"
Georgia,Georgia,sonny perdue,1/2/1788,peach state;,76.93 years
Guam,Guam,felix camacho,,chamorros,171000
Hawaii,Hawaii,linda lingle,8/21/1959,the big island,1211537
Idaho,Idaho,Butch Otter,7/3/1890,gem state,1293953
Illinois,Illinois,pat quinn,12/3/1818,prairie state,12419293
Indiana,Indiana,mitch daniels,12/11/1816,Hoosier State,"6,345,289"
Iowa,Iowa,chet culver,12/28/1846,hawkeye state,2926324
Kansas,Kansas,mark parkinson,1/29/1861,Sunflower State,"2,775,997"
Kentucky,Kentucky,steve beshear,6/1/1792,bluegrass state,4041769
Louisiana,Louisiana,bobby jindal,4/30/1812,pelican state,4468976
Maine,Maine,john baldacci,3/15/1820,the pine tree state,1274923
Maryland,Maryland,Martin O'Malley,4/28/1788,Terrapins,"5,618,344"
Massachusetts,Massachusetts,deval patrick,2/6/1788,bay state,6349097
Michigan,Michigan,jennifer granholm,1/26/1837,the wolverine state,9938444
Minnesota,Minnesota,Tim Pawlenty,5/11/1858,Golden Gophers,4919479
Mississippi,Mississippi,haley barbour,12/10/1817,magnolia state,2844658
Missouri,Missouri,Matt Blunt,8/10/1821,show me state,5595211
Montana,Montana,Brian Schweitzer,11/8/1889,treasure state,"902,195"
Nebraska,Nebraska,dave heineman,3/1/1867,cornhusker state,1711263
Nevada,Nevada,jim gibbons,10/31/1864,the silver state,1998257
New Hampshire,New Hampshire,john lynch,6/21/1788,Granite State,1235786
New Jersey,New Jersey,Chris Christie,12/18/1787,Garden State,8414350
New Mexico,New Mexico,William B. Richardson III,1/6/1912,Land of Enchantment,1819046
New York,New York,david paterson,7/26/1788,the Big Apple,#N/A
North Carolina,North Carolina,bev perdue,11/21/1789,tar heel state,"9,061,032"
North Dakota,North Dakota,john hoeven,11/2/1889,peace garden state,"642,200"
Northern Marianas Islands,Northern Marianas Islands,Benigno R. Fitial,,#N/A,"80,362"
Ohio,Ohio,Ted Strickland,3/1/1803,buckeye state,"5,623"
Oklahoma,Oklahoma,C. Brad Henry,11/16/1907,sooner state,3450654
Oregon,Oregon,Ted Kulongoski,2/14/1859,beaver state,"3,747,455"
Pennsylvania,Pennsylvania,Ed Rendell,12/12/1787,keystone state,12281054
Puerto Rico,Puerto Rico,Luis Fortuño,,isle of enchantment,78.57 years
Rhode Island,Rhode Island,donald carcieri,5/29/1790,the ocean state,1048319
South Carolina,South Carolina,mark sanford,5/23/1788,the palmetto state,4012012
South Dakota,South Dakota,Mike Rounds,11/2/1889,Mount Rushmore State,"796,214"
Tennessee,Tennessee,phil bredesen,6/1/1796,volunteer state,5689283
Texas,Texas,rick perry,12/29/1845,lone star state,20851820
Utah,Utah,gary r. herbert,1/4/1896,beehive state,2233169
Vermont,Vermont,jim douglas,3/4/1791,green mountain state,"608,827"
Virginia,Virginia,Bob McDonnell,6/25/1788,old dominion state,7078515
Virgin Islands,Virgin Islands,Charles Turnbull,,#N/A,77.45 years
Washington,Washington,christine gregoire,11/11/1889,Father of His Country,Ranked 13th in the US
West Virginia,West Virginia,joe manchin,6/20/1863,mountain state,1812035
Wisconsin,Wisconsin,jim doyle,5/29/1848,badger state,5363675
Wyoming,Wyoming,dave freudenthal,7/10/1890,equality state,"493,782"
